artist,track_name,album,label,popularity,uri,streaming
Ninho,Maman ne le sait pas (feat. Niska),Destin,Rec. 118 / Mal Luné Music,70,spotify:track:5c2HadbVTsMKjja4gohEFI,191893657
Ninho,Lettre à une femme,M.I.L.S 3,Rec. 118 / Mal Luné Music,68,spotify:track:5HEtuK03ygUzqca6yfgOYZ,198926479
Tiakola,MANON B (ft. Ryflo & Oskoow)$,BDLM VOL.1,M3lo World / Atlantic Records,71,spotify:track:6C0SXfD7rR46MpWK5VJSEw,62441975
Tiakola,MAMI WATA (ft. Gazo),LA MELO EST GANGX,BSB PROD,72,spotify:track:6yqwxY8qifBBhyryjZutxk,104591142
Tiakola,"PONA NINI (ft. Genezio, Prototype)",BDLM VOL.1,M3lo World / Atlantic Records,70,spotify:track:6JCjcuo4VKAP4bHhbHj6fe,40089458
Tiakola,Meuda,Mélo,Wati-B,70,spotify:track:4wNyrbY6B2Okii8VeKo2B2,169883852
Tiakola,"PLAISIR NOCIF (ft. SDM, Liim's)",BDLM VOL.1,M3lo World / Atlantic Records,68,spotify:track:6gF9liH6UwYm2eQqyuP7SH,22390582
Tiakola,"1h55 (ft. Rsko, Hamza)",BDLM VOL.1,M3lo World / Atlantic Records,66,spotify:track:36kPlvgOwqbdMqMyeioRJN,20639342
Tiakola,"RESTE-LÀ (ft. RnBoi, Monsieur Nov)",BDLM VOL.1,M3lo World / Atlantic Records,66,spotify:track:6yg2N05MAebATBiYQytC6N,19651874
Tiakola,M3lo,Mélo,Wati-B,65,spotify:track:7ELft1cx8anhsXE405kckI,77241162
Tiakola,FLEURS (feat. Gazo),KMT,BSB PROD,65,spotify:track:0i9RysNKssk6syOrKDX3U2,121660205
